City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,polovinnoye,54.7914,65.9864,270.62,66,100,4.22,RU,1730773593
196,itacarambi,-15.1022,-44.0919,298.39,56,100,2.09,BR,1730773594
197,siwa oasis,29.2041,25.5195,290.87,65,0,3.23,EG,1730773595
198,kapuskasing,49.4169,-82.4331,283.2,100,100,5.14,CA,1730773596
199,mwinilunga,-11.7358,24.4293,289.21,92,100,1.43,ZM,1730773597
200,atafu village,-8.5421,-172.5159,301.56,72,100,5.56,TK,1730773598
201,t'aebaek,37.1759,128.9889,284.5,66,98,1.46,KR,1730773601
202,sathupalli,17.2497,80.869,296.42,80,2,0.66,IN,1730773602
203,kismayo,-0.3582,42.5454,299.27,83,98,3.91,SO,1730773603
204,mount pearl,47.5166,-52.7813,274.34,68,100,5.66,CA,1730773336
205,mata-utu,-13.2816,-176.1745,301.01,79,98,5.01,WF,1730773153
206,salalah,17.0151,54.0924,298.2,65,0,1.03,OM,1730773606
207,badger,64.8,-147.5333,265.57,87,75,2.06,US,1730773494
208,dunedin,-45.8742,170.5036,286.93,80,88,2.68,NZ,1730773609
209,oriximina,-1.7656,-55.8661,299.06,80,88,1.57,BR,1730773610
210,tocopilla,-22.092,-70.1979,292.47,73,2,4.12,CL,1730773611
211,kalmunai,7.4167,81.8167,299.15,82,100,2.42,LK,1730773612
212,baynjiwayn,35.6183,45.9541,280.08,94,0,1.03,IQ,1730773613
213,flying fish cove,-10.4217,105.6791,300.97,89,100,5.14,CX,1730773502
214,munnar,10.1,77.0667,287.7,91,78,1.75,IN,1730773616
215,lompoc,34.6391,-120.4579,288.09,50,0,3.6,US,1730773617
216,greenland,43.0362,-70.8328,282.59,77,100,2.06,US,1730773618
217,east london,-33.0153,27.9116,285.82,86,100,5.89,ZA,1730773619
218,san julian,21.0167,-102.1667,288.47,58,0,2.71,MX,1730773620
219,colonia,50.9333,6.95,280.44,86,0,2.06,DE,1730773621
220,dazuocun,24.8862,118.9643,294.97,78,10,12.76,CN,1730773622
221,buka,40.8108,69.1986,288.12,68,100,0.72,UZ,1730773625
222,brumado,-14.2036,-41.6653,296.56,62,98,4.65,BR,1730773626
223,arfoud,31.4348,-4.2375,291.8,42,100,1.18,MA,1730773627
224,ust-nera,64.5667,143.2,251.63,96,82,0.72,RU,1730773534
225,keflavik,64.0049,-22.5624,283.39,100,100,12.35,IS,1730773051
226,derbent,42.0678,48.2899,284.2,79,6,10.4,RU,1730773631
227,viedma,-40.8135,-62.9967,292.17,22,15,7.79,AR,1730773632
